At,Heartrate
06-11-2021 23:32:48,67
06-11-2021 23:32:50,64
06-11-2021 23:32:52,71
06-11-2021 23:32:58,71
06-11-2021 23:33:04,71
06-11-2021 23:33:09,71
06-11-2021 23:33:15,71
06-11-2021 23:33:21,71
06-11-2021 23:33:28,71
06-11-2021 23:33:32,71
06-11-2021 23:33:36,76
06-11-2021 23:33:38,77
06-11-2021 23:33:40,79
06-11-2021 23:33:46,79
06-11-2021 23:33:52,79
06-11-2021 23:33:57,79
06-11-2021 23:34:03,79
06-11-2021 23:34:05,80
06-11-2021 23:34:07,81
06-11-2021 23:34:09,82
06-11-2021 23:34:16,83
06-11-2021 23:34:17,84
06-11-2021 23:34:18,85
06-11-2021 23:34:24,85
06-11-2021 23:34:26,86
06-11-2021 23:34:32,86
06-11-2021 23:34:38,87
06-11-2021 23:34:44,87
06-11-2021 23:34:47,86
06-11-2021 23:34:53,86
06-11-2021 23:34:55,85
06-11-2021 23:34:57,84
06-11-2021 23:34:59,83
06-11-2021 23:35:05,82
06-11-2021 23:35:06,81
06-11-2021 23:35:10,80
06-11-2021 23:35:12,79
06-11-2021 23:35:16,81
06-11-2021 23:35:18,78
06-11-2021 23:35:24,78
06-11-2021 23:35:29,78
06-11-2021 23:35:31,79
06-11-2021 23:35:35,80
06-11-2021 23:35:37,79
06-11-2021 23:35:39,78
06-11-2021 23:35:41,79
06-11-2021 23:35:43,80
06-11-2021 23:35:45,81
06-11-2021 23:35:52,81
06-11-2021 23:35:56,81
06-11-2021 23:36:00,82
06-11-2021 23:36:06,81
06-11-2021 23:36:12,81
06-11-2021 23:36:18,81
06-11-2021 23:36:21,83
06-11-2021 23:36:27,83
06-11-2021 23:36:33,83
06-11-2021 23:36:35,84
06-11-2021 23:36:41,84
06-11-2021 23:36:44,82
06-11-2021 23:36:50,82
06-11-2021 23:36:56,82
06-11-2021 23:37:02,82
06-11-2021 23:37:08,82
06-11-2021 23:37:13,82
06-11-2021 23:37:19,82
06-11-2021 23:37:25,82
06-11-2021 23:37:30,82
06-11-2021 23:37:36,82
06-11-2021 23:37:42,82
06-11-2021 23:37:48,82
06-11-2021 23:37:53,82
06-11-2021 23:37:59,82
06-11-2021 23:38:05,82
06-11-2021 23:38:11,82
06-11-2021 23:38:17,82
06-11-2021 23:38:22,82
06-11-2021 23:38:28,82
06-11-2021 23:38:34,82
06-11-2021 23:38:40,82
06-11-2021 23:38:45,82
06-11-2021 23:38:51,82
06-11-2021 23:38:53,83
06-11-2021 23:38:59,83
06-11-2021 23:39:05,83
06-11-2021 23:39:10,83
06-11-2021 23:39:14,83
06-11-2021 23:39:20,83
06-11-2021 23:39:26,83
06-11-2021 23:39:31,83
06-11-2021 23:39:37,83
06-11-2021 23:39:43,84
06-11-2021 23:39:45,83
06-11-2021 23:39:47,82
06-11-2021 23:39:49,81
06-11-2021 23:39:52,82
06-11-2021 23:39:53,84
06-11-2021 23:39:54,81
06-11-2021 23:39:56,82
06-11-2021 23:40:02,82
06-11-2021 23:40:08,82
06-11-2021 23:40:14,82
06-11-2021 23:40:16,78
06-11-2021 23:40:17,77
06-11-2021 23:40:23,77
06-11-2021 23:40:29,77
06-11-2021 23:40:35,77
06-11-2021 23:40:41,77
06-11-2021 23:40:46,77
06-11-2021 23:40:52,77
06-11-2021 23:40:58,77
06-11-2021 23:41:04,77
06-11-2021 23:41:09,77
06-11-2021 23:41:14,77
06-11-2021 23:41:20,77
06-11-2021 23:41:26,77
06-11-2021 23:41:29,74
06-11-2021 23:41:31,75
06-11-2021 23:41:37,75
06-11-2021 23:41:39,73
06-11-2021 23:41:41,74
06-11-2021 23:41:49,73
06-11-2021 23:41:55,73
06-11-2021 23:42:00,73
06-11-2021 23:42:06,73
06-11-2021 23:42:12,83
06-11-2021 23:42:14,79
06-11-2021 23:42:17,81
06-11-2021 23:42:17,80
06-11-2021 23:42:23,80
