timedate,value
03/11/21 21:04:00,76
03/11/21 21:04:02,76
03/11/21 21:04:12,76
03/11/21 21:04:15,78
03/11/21 21:04:21,78
03/11/21 21:04:24,81
03/11/21 21:04:31,82
03/11/21 21:04:38,81
03/11/21 21:04:40,83
03/11/21 21:04:43,86
03/11/21 21:04:47,86
03/11/21 21:04:49,83
03/11/21 21:04:51,85
03/11/21 21:04:57,86
03/11/21 21:04:59,87
03/11/21 21:05:05,55
03/11/21 21:05:09,53
03/11/21 21:05:18,52
03/11/21 21:05:26,53
03/11/21 21:05:34,52
03/11/21 21:05:40,53
03/11/21 21:05:45,53
03/11/21 21:05:48,53
03/11/21 21:05:55,54
03/11/21 21:06:05,54
03/11/21 21:06:11,54
03/11/21 21:06:16,54
03/11/21 21:06:23,55
03/11/21 21:06:28,53
03/11/21 21:06:34,53
03/11/21 21:06:41,53
03/11/21 21:06:46,53
03/11/21 21:06:52,53
03/11/21 21:06:57,56
03/11/21 21:07:02,56
03/11/21 21:07:04,58
03/11/21 21:07:06,61
03/11/21 21:07:09,65
03/11/21 21:07:11,68
03/11/21 21:07:14,68
03/11/21 21:07:16,66
03/11/21 21:07:22,64
03/11/21 21:07:25,64
03/11/21 21:07:27,66
03/11/21 21:07:37,66
03/11/21 21:07:39,64
03/11/21 21:07:42,62
03/11/21 21:07:48,60
03/11/21 21:07:58,60
03/11/21 21:08:00,64
03/11/21 21:08:04,64
03/11/21 21:08:11,64
03/11/21 21:08:18,65
03/11/21 21:08:22,67
03/11/21 21:08:29,68
03/11/21 21:08:32,66
03/11/21 21:08:40,67
03/11/21 21:08:45,67
03/11/21 21:08:47,65
03/11/21 21:08:52,63
03/11/21 21:09:00,65
03/11/21 21:09:04,63
03/11/21 21:09:11,61
03/11/21 21:09:16,59
03/11/21 21:09:20,63
03/11/21 21:09:27,65
03/11/21 21:09:32,67
03/11/21 21:09:34,69
03/11/21 21:09:40,67
03/11/21 21:09:47,68
03/11/21 21:09:49,61
03/11/21 21:09:51,58
